name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	200	86	114	20	20	40	63010	1260	63010	33687	143	58992	0	184	0	60020	360	60020	60040	400	60040	t < 800 ms	85	42	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	0	failed	114	57	0	0	0
Login	30	28	2	12100	12350	12100	13300	13300	12150	12406	12426	12125	185	180	25	12580	12580	12150	13300	13300	12150	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	28	93	failed	2	6	0	0	0
Login / Login page	30	30	0	20	20	-1	70	70	-1	32	32	-1	13	13	-1	70	70	-1	70	70	-1	t < 800 ms	30	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	30	28	2	40	290	40	1260	1260	80	344	365	60	185	174	20	400	400	80	1260	1260	80	t < 800 ms	27	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	3	failed	2	6	0	0	0
Token	30	28	2	0	40	0	160	160	0	43	46	0	25	23	0	60	60	0	160	160	0	t < 800 ms	28	93	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	6	0	0	0
Token / Token exchange	28	28	0	30	30	-1	70	70	-1	40	40	-1	7	7	-1	60	60	-1	70	70	-1	t < 800 ms	28	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	30	0	30	6000	-1	6000	66070	-1	66070	62016	-1	62016	0	-1	0	66060	-1	66060	66070	-1	66070	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	30	100	0	-1	0
Patient / Patient demographics	28	0	28	60010	-1	60010	60040	-1	60040	60018	-1	60018	0	-1	0	60040	-1	60040	60040	-1	60040	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	28	100	0	-1	0
Document	30	0	30	6000	-1	6000	189050	-1	189050	174150	-1	174150	0	-1	0	186100	-1	186100	189050	-1	189050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	30	100	0	-1	0
Document / Document retrieval text	28	0	28	60010	-1	60010	60030	-1	60030	60018	-1	60018	0	-1	0	60020	-1	60020	60030	-1	60030	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	28	100	0	-1	0
Document / Document retrieval metadata	28	0	28	60010	-1	60010	60020	-1	60020	60018	-1	60018	0	-1	0	60020	-1	60020	60020	-1	60020	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	28	100	0	-1	0
Document / Document retrieval file	28	0	28	60010	-1	60010	63010	-1	63010	60126	-1	60126	0	-1	0	60020	-1	60020	63010	-1	63010	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	28	100	0	-1	0
