name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	72	70	2	10	10	30	8450	8450	40	1109	1139	35	2541	2571	5	7720	8030	40	8400	8400	40	t < 800 ms	60	83	800 ms < t < 1200 ms	1	1	t > 1200 ms	9	12	failed	2	2	0	0	0
Login	11	10	1	12050	12250	12050	12430	12430	12050	12271	12293	12050	71	51	0	12300	12430	12050	12430	12430	12050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Login / Login page	11	11	0	10	10	-1	80	80	-1	21	21	-1	20	20	-1	30	30	-1	80	80	-1	t < 800 ms	11	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	11	10	1	30	220	30	260	260	30	219	238	30	61	11	0	250	260	30	260	260	30	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token	11	10	1	0	50	0	220	220	0	72	79	0	54	52	0	120	220	0	220	220	0	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token / Token exchange	10	10	0	40	40	-1	200	200	-1	65	65	-1	46	46	-1	200	200	-1	200	200	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	11	9	2	6000	12600	6000	14400	14400	6050	12375	13786	6025	3030	523	25	14380	14400	6050	14400	14400	6050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	81	failed	2	18	0	0	0
Patient / Patient demographics	10	9	1	40	6590	40	8450	8450	40	7026	7802	40	2386	553	0	8450	8450	40	8450	8450	40	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	90	failed	1	10	0	0	0
Document	11	10	1	6000	6350	6000	7450	7450	6000	6577	6635	6000	379	343	0	6950	7450	6000	7450	7450	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Document / Document retrieval text	10	10	0	100	100	-1	930	930	-1	262	262	-1	248	248	-1	930	930	-1	930	930	-1	t < 800 ms	9	90	800 ms < t < 1200 ms	1	10	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval metadata	10	10	0	70	70	-1	140	140	-1	89	89	-1	24	24	-1	140	140	-1	140	140	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval file	10	10	0	180	180	-1	510	510	-1	277	277	-1	123	123	-1	510	510	-1	510	510	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
