name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	200	197	3	40	40	40	32280	32280	1190	775	780	427	2856	2876	540	2220	2220	1190	4130	4130	1190	t < 800 ms	160	80	800 ms < t < 1200 ms	12	6	t > 1200 ms	25	12	failed	3	1	0	0	0
Login	30	28	2	12100	12400	12100	13250	12550	13250	12457	12442	12675	187	0	575	12550	12500	13250	13250	12550	13250	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	28	93	failed	2	6	0	0	0
Login / Login page	30	30	0	40	40	-1	100	100	-1	60	60	-1	17	17	-1	90	90	-1	100	100	-1	t < 800 ms	30	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	30	28	2	50	320	50	1190	440	1190	369	351	620	164	32	570	440	390	1190	1190	440	1190	t < 800 ms	28	93	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	6	0	0	0
Token	30	28	2	0	40	0	150	150	0	53	57	0	30	27	0	100	100	0	150	150	0	t < 800 ms	28	93	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	6	0	0	0
Token / Token exchange	28	28	0	40	40	-1	100	100	-1	53	53	-1	21	21	-1	100	100	-1	100	100	-1	t < 800 ms	28	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	30	28	2	6000	6140	6000	29860	29860	6050	7470	7574	6025	4184	4311	25	7660	7660	6050	29860	29860	6050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	28	93	failed	2	6	0	0	0
Patient / Patient demographics	28	28	0	220	220	-1	23850	23850	-1	1576	1576	-1	4310	4310	-1	1680	1680	-1	23850	23850	-1	t < 800 ms	16	57	800 ms < t < 1200 ms	6	21	t > 1200 ms	6	21	failed	0	0	0	0	-1
Document	30	27	3	6000	6850	6000	41900	11050	41900	9217	8243	17983	6171	1024	16912	11050	9900	41900	41900	11050	41900	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	27	90	failed	3	10	0	0	0
Document / Document retrieval text	28	28	0	600	600	-1	4130	4130	-1	1738	1738	-1	920	920	-1	3580	3580	-1	4130	4130	-1	t < 800 ms	4	14	800 ms < t < 1200 ms	6	21	t > 1200 ms	18	64	failed	0	0	0	0	-1
Document / Document retrieval metadata	28	28	0	60	60	-1	32280	32280	-1	1321	1321	-1	5959	5959	-1	510	510	-1	32280	32280	-1	t < 800 ms	27	96	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	3	failed	0	0	0	0	-1
Document / Document retrieval file	28	27	1	40	190	40	710	710	40	387	400	40	169	158	0	680	680	40	710	710	40	t < 800 ms	27	96	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	3	0	0	0
