name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	151	112	39	20	20	360	60050	32290	60050	15822	964	58489	0	4397	0	60020	2060	60030	60030	32000	60050	t < 800 ms	103	68	800 ms < t < 1200 ms	1	0	t > 1200 ms	8	5	failed	39	25	0	0	0
Login	30	30	0	12350	12350	-1	12550	12550	-1	12399	12399	-1	41	41	-1	12470	12470	-1	12550	12550	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	30	100	failed	0	0	0	0	-1
Login / Login page	31	31	0	20	20	-1	90	90	-1	29	29	-1	12	12	-1	30	30	-1	90	90	-1	t < 800 ms	31	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	30	30	0	290	290	-1	490	490	-1	342	342	-1	38	38	-1	400	400	-1	490	490	-1	t < 800 ms	30	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token	30	30	0	40	40	-1	210	210	-1	60	60	-1	36	36	-1	120	120	-1	210	210	-1	t < 800 ms	30	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token / Token exchange	30	30	0	30	30	-1	210	210	-1	56	56	-1	33	33	-1	100	100	-1	210	210	-1	t < 800 ms	30	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	23	7	16	6110	6110	66010	66060	38280	66060	51357	17846	66018	0	13355	0	66050	38280	66050	66060	38280	66060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	30	failed	16	69	0	0	0
Patient / Patient demographics	24	7	17	130	130	60010	60030	32290	60030	45971	11856	60018	0	13368	0	60020	32290	60020	60030	32290	60030	t < 800 ms	2	8	800 ms < t < 1200 ms	0	0	t > 1200 ms	5	20	failed	17	70	0	0	0
Document	7	4	3	6500	6500	6900	186050	9950	186050	59229	8900	126333	0	1408	0	186050	9950	186050	186050	9950	186050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	57	failed	3	42	0	0	0
Document / Document retrieval text	17	4	13	240	240	360	60020	3660	60020	42873	2070	55428	0	1474	0	60020	3660	60020	60020	3660	60020	t < 800 ms	1	5	800 ms < t < 1200 ms	1	5	t > 1200 ms	2	11	failed	13	76	0	0	0
Document / Document retrieval metadata	12	5	7	100	100	60010	60050	240	60050	35076	150	60023	0	56	0	60030	240	60050	60050	240	60050	t < 800 ms	5	41	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	7	58	0	0	0
Document / Document retrieval file	7	5	2	150	150	60010	60020	2060	60020	17597	630	60015	0	720	0	60020	2060	60020	60020	2060	60020	t < 800 ms	4	57	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	14	failed	2	28	0	0	0
