name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	72	70	2	10	10	60	7650	7650	70	1011	1038	65	2287	2314	5	7200	7220	70	7350	7350	70	t < 800 ms	60	83	800 ms < t < 1200 ms	1	1	t > 1200 ms	9	12	failed	2	2	0	0	0
Login	11	10	1	12100	12250	12100	12400	12400	12100	12262	12278	12100	17	49	0	12330	12400	12100	12400	12400	12100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Login / Login page	11	11	0	10	10	-1	150	150	-1	32	32	-1	39	39	-1	50	50	-1	150	150	-1	t < 800 ms	11	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	11	10	1	60	220	60	230	230	60	208	223	60	48	5	0	230	230	60	230	230	60	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token	11	10	1	0	40	0	100	100	0	49	54	0	22	16	0	60	100	0	100	100	0	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token / Token exchange	10	10	0	40	40	-1	50	50	-1	46	46	-1	5	5	-1	50	50	-1	50	50	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	11	9	2	6000	12050	6000	13600	13600	6060	11761	13034	6030	2732	465	30	13350	13600	6060	13600	13600	6060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	81	failed	2	18	0	0	0
Patient / Patient demographics	10	9	1	70	6060	70	7650	7650	70	6339	7036	70	2133	442	0	7650	7650	70	7650	7650	70	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	90	failed	1	10	0	0	0
Document	11	10	1	6000	6350	6000	7550	7550	6000	6577	6635	6000	390	356	0	6850	7550	6000	7550	7550	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Document / Document retrieval text	10	10	0	90	90	-1	980	980	-1	246	246	-1	258	258	-1	980	980	-1	980	980	-1	t < 800 ms	9	90	800 ms < t < 1200 ms	1	10	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval metadata	10	10	0	70	70	-1	240	240	-1	92	92	-1	50	50	-1	240	240	-1	240	240	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval file	10	10	0	160	160	-1	510	510	-1	290	290	-1	126	126	-1	510	510	-1	510	510	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
