name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	72	71	1	10	10	40	8990	8990	40	1215	1232	40	2618	2632	0	8320	8320	40	8630	8630	40	t < 800 ms	58	80	800 ms < t < 1200 ms	4	5	t > 1200 ms	9	12	failed	1	1	0	0	0
Login	11	10	1	12100	12250	12100	12420	12420	12100	12265	12282	12100	128	51	0	12300	12420	12100	12420	12420	12100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Login / Login page	11	11	0	10	10	-1	110	110	-1	25	25	-1	28	28	-1	20	20	-1	110	110	-1	t < 800 ms	11	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	11	10	1	40	220	40	240	240	40	212	229	40	54	7	0	240	240	40	240	240	40	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token	11	10	1	0	40	0	90	90	0	53	58	0	22	17	0	90	90	0	90	90	0	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token / Token exchange	10	10	0	40	40	-1	90	90	-1	52	52	-1	13	13	-1	90	90	-1	90	90	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	11	10	1	6000	6900	6000	14950	14950	6000	12702	13372	6000	3001	2230	0	14640	14950	6000	14950	14950	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Patient / Patient demographics	10	10	0	860	860	-1	8990	8990	-1	7368	7368	-1	2246	2246	-1	8990	8990	-1	8990	8990	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	1	10	t > 1200 ms	9	90	failed	0	0	0	0	-1
Document	11	10	1	6000	6700	6000	7650	7650	6000	6973	7070	6000	407	287	0	7400	7650	6000	7650	7650	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Document / Document retrieval text	10	10	0	270	270	-1	1020	1020	-1	581	581	-1	262	262	-1	1020	1020	-1	1020	1020	-1	t < 800 ms	7	70	800 ms < t < 1200 ms	3	30	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval metadata	10	10	0	70	70	-1	240	240	-1	122	122	-1	48	48	-1	240	240	-1	240	240	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval file	10	10	0	160	160	-1	640	640	-1	365	365	-1	161	161	-1	640	640	-1	640	640	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
