name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	21	12	9	40	40	1310	60010	920	60010	6309	212	14438	0	235	0	21010	300	60010	60010	920	60010	t < 800 ms	11	52	800 ms < t < 1200 ms	1	4	t > 1200 ms	0	0	failed	9	42	0	0	0
Login	3	3	0	12300	12300	-1	12380	12380	-1	12343	12343	-1	97	97	-1	12380	12380	-1	12380	12380	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
Login / Login page	3	3	0	40	40	-1	60	60	-1	47	47	-1	8	8	-1	60	60	-1	60	60	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	3	3	0	240	240	-1	250	250	-1	243	243	-1	14	14	-1	250	250	-1	250	250	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token	3	3	0	60	60	-1	140	140	-1	90	90	-1	36	36	-1	140	140	-1	140	140	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token / Token exchange	3	3	0	60	60	-1	70	70	-1	63	63	-1	8	8	-1	70	70	-1	70	70	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	3	1	2	6230	6230	7390	7460	6230	7460	7027	6230	7425	560	0	35	7460	6230	7460	7460	6230	7460	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	33	failed	2	66	0	0	0
Patient / Patient demographics	3	1	2	260	260	1390	1520	260	1520	1057	260	1455	565	0	65	1520	260	1520	1520	260	1520	t < 800 ms	1	33	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	66	0	0	0
Document	3	0	3	28250	-1	28250	88400	-1	88400	48767	-1	48767	0	-1	0	88400	-1	88400	88400	-1	88400	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval text	3	1	2	920	920	1310	1390	920	1390	1207	920	1350	203	0	40	1390	920	1390	1390	920	1390	t < 800 ms	0	0	800 ms < t < 1200 ms	1	33	t > 1200 ms	0	0	failed	2	66	0	0	0
Document / Document retrieval metadata	3	0	3	21000	-1	21000	21010	-1	21010	21003	-1	21003	118	-1	118	21010	-1	21010	21010	-1	21010	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval file	3	1	2	300	300	1310	60010	300	60010	20540	300	30660	0	0	0	60010	300	60010	60010	300	60010	t < 800 ms	1	33	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	66	0	0	0
