name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	21	9	12	30	30	1030	1060	1000	1060	686	217	1038	450	296	0	1050	1000	1050	1060	1000	1060	t < 800 ms	8	38	800 ms < t < 1200 ms	1	4	t > 1200 ms	0	0	failed	12	57	0	0	0
Login	3	3	0	12350	12350	-1	13110	13110	-1	12603	12603	-1	370	370	-1	13110	13110	-1	13110	13110	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
Login / Login page	3	3	0	30	30	-1	40	40	-1	33	33	-1	7	7	-1	40	40	-1	40	40	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	3	3	0	300	300	-1	1000	1000	-1	540	540	-1	325	325	-1	1000	1000	-1	1000	1000	-1	t < 800 ms	2	66	800 ms < t < 1200 ms	1	33	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token	3	3	0	60	60	-1	130	130	-1	93	93	-1	30	30	-1	130	130	-1	130	130	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token / Token exchange	3	3	0	60	60	-1	90	90	-1	77	77	-1	10	10	-1	90	90	-1	90	90	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	3	0	3	7020	-1	7020	7060	-1	7060	7040	-1	7040	16	-1	16	7060	-1	7060	7060	-1	7060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Patient / Patient demographics	3	0	3	1030	-1	1030	1060	-1	1060	1043	-1	1043	29	-1	29	1060	-1	1060	1060	-1	1060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document	3	0	3	9100	-1	9100	9100	-1	9100	9100	-1	9100	0	-1	0	9100	-1	9100	9100	-1	9100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval text	3	0	3	1030	-1	1030	1040	-1	1040	1037	-1	1037	0	-1	0	1040	-1	1040	1040	-1	1040	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval metadata	3	0	3	1030	-1	1030	1050	-1	1050	1040	-1	1040	8	-1	8	1050	-1	1050	1050	-1	1050	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval file	3	0	3	1030	-1	1030	1030	-1	1030	1030	-1	1030	0	-1	0	1030	-1	1030	1030	-1	1030	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
