name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	72	70	2	10	10	40	7620	7620	50	1040	1069	45	2302	2328	5	7250	7340	50	7580	7580	50	t < 800 ms	59	81	800 ms < t < 1200 ms	1	1	t > 1200 ms	10	13	failed	2	2	0	0	0
Login	11	10	1	12100	12250	12100	12450	12450	12100	12285	12303	12100	0	57	0	12350	12450	12100	12450	12450	12100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Login / Login page	11	11	0	10	10	-1	200	200	-1	32	32	-1	53	53	-1	20	20	-1	200	200	-1	t < 800 ms	11	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	11	10	1	50	220	50	240	240	50	210	226	50	51	7	0	230	240	50	240	240	50	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token	11	10	1	0	50	0	90	90	0	52	57	0	19	12	0	60	90	0	90	90	0	t < 800 ms	10	90	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	9	0	0	0
Token / Token exchange	10	10	0	40	40	-1	60	60	-1	50	50	-1	6	6	-1	60	60	-1	60	60	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	11	9	2	6000	12060	6000	13600	13600	6040	11782	13062	6020	2750	484	20	13550	13600	6040	13600	13600	6040	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	81	failed	2	18	0	0	0
Patient / Patient demographics	10	9	1	40	6050	40	7620	7620	40	6374	7078	40	2162	487	0	7620	7620	40	7620	7620	40	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	90	failed	1	10	0	0	0
Document	11	10	1	6000	6400	6000	8200	8200	6000	6736	6810	6000	588	562	0	7450	8200	6000	8200	8200	6000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	90	failed	1	9	0	0	0
Document / Document retrieval text	10	10	0	80	80	-1	1910	1910	-1	428	428	-1	552	552	-1	1910	1910	-1	1910	1910	-1	t < 800 ms	8	80	800 ms < t < 1200 ms	1	10	t > 1200 ms	1	10	failed	0	0	0	0	-1
Document / Document retrieval metadata	10	10	0	70	70	-1	140	140	-1	79	79	-1	21	21	-1	140	140	-1	140	140	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Document / Document retrieval file	10	10	0	200	200	-1	500	500	-1	292	292	-1	112	112	-1	500	500	-1	500	500	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
