name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	21	9	12	10	20	10	510	510	50	81	158	24	133	176	12	340	510	40	510	510	50	t < 800 ms	9	42	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	12	57	0	0	0
Login	3	3	0	12400	12400	-1	12550	12550	-1	12467	12467	-1	0	0	-1	12550	12550	-1	12550	12550	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
Login / Login page	3	3	0	20	20	-1	30	30	-1	23	23	-1	6	6	-1	30	30	-1	30	30	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	3	3	0	340	340	-1	510	510	-1	397	397	-1	78	78	-1	510	510	-1	510	510	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token	3	3	0	40	40	-1	90	90	-1	73	73	-1	25	25	-1	90	90	-1	90	90	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token / Token exchange	3	3	0	40	40	-1	80	80	-1	53	53	-1	20	20	-1	80	80	-1	80	80	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Patient	3	0	3	6010	-1	6010	6060	-1	6060	6027	-1	6027	0	-1	0	6060	-1	6060	6060	-1	6060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Patient / Patient demographics	3	0	3	30	-1	30	50	-1	50	37	-1	37	8	-1	8	50	-1	50	50	-1	50	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document	3	0	3	6050	-1	6050	6100	-1	6100	6067	-1	6067	0	-1	0	6100	-1	6100	6100	-1	6100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval text	3	0	3	20	-1	20	20	-1	20	20	-1	20	0	-1	0	20	-1	20	20	-1	20	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval metadata	3	0	3	10	-1	10	40	-1	40	23	-1	23	13	-1	13	40	-1	40	40	-1	40	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Document / Document retrieval file	3	0	3	10	-1	10	20	-1	20	17	-1	17	3	-1	3	20	-1	20	20	-1	20	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
